Month,Interest
2019-01-01,7
2019-02-01,7
2019-03-01,5
2019-04-01,7
2019-05-01,6
2019-06-01,7
2019-07-01,7
2019-08-01,9
2019-09-01,9
2019-10-01,8
2019-11-01,7
2019-12-01,6
2020-01-01,8
2020-02-01,8
2020-03-01,6
2020-04-01,7
2020-05-01,9
2020-06-01,8
2020-07-01,10
2020-08-01,9
2020-09-01,10
2020-10-01,8
2020-11-01,7
2020-12-01,7
2021-01-01,7
2021-02-01,9
2021-03-01,10
2021-04-01,9
2021-05-01,7
2021-06-01,9
2021-07-01,9
2021-08-01,9
2021-09-01,12
2021-10-01,10
2021-11-01,10
2021-12-01,10
2022-01-01,14
2022-02-01,15
2022-03-01,16
2022-04-01,16
2022-05-01,17
2022-06-01,18
2022-07-01,16
2022-08-01,17
2022-09-01,20
2022-10-01,22
2022-11-01,21
2022-12-01,28
2023-01-01,34
2023-02-01,45
2023-03-01,42
2023-04-01,44
2023-05-01,50
2023-06-01,60
2023-07-01,55
2023-08-01,58
2023-09-01,66
2023-10-01,61
2023-11-01,62
2023-12-01,62
2024-01-01,71
2024-02-01,87
2024-03-01,86
2024-04-01,86
2024-05-01,85
2024-06-01,87
2024-07-01,86
2024-08-01,91
2024-09-01,100
2024-10-01,100
